7934
; High-resolution solar spectrum between 800-1150 A. 
; Based on measurements with SOHO/SUMER (Curdt et al., 1997)
; wave (A)   flux (photons in arbitrary units)
842.47540    6.16808E+07
842.51990    6.12595E+07
842.56439    6.28165E+07
842.60889    6.37334E+07
842.65338    6.36686E+07
842.69788    6.19050E+07
842.74231    6.01788E+07
842.78680    5.96279E+07
842.83130    6.07893E+07
842.87579    6.12140E+07
842.92029    6.01997E+07
842.96478    6.09528E+07
843.00928    6.24965E+07
843.05377    6.23192E+07
843.09827    6.03855E+07
843.14276    5.88860E+07
843.18726    5.78426E+07
843.23175    5.69159E+07
843.27618    5.65328E+07
843.32068    5.72024E+07
843.36517    5.88761E+07
843.40967    5.91752E+07
843.45416    6.04700E+07
843.49866    6.26697E+07
843.54315    6.19060E+07
843.58765    6.22119E+07
843.63214    6.39625E+07
843.67664    6.52281E+07
843.72113    6.53407E+07
843.76562    6.47334E+07
843.81012    6.42590E+07
843.85461    6.33285E+07
843.89911    6.13931E+07
843.94354    6.11868E+07
843.98804    6.04463E+07
844.03253    5.98458E+07
844.07703    6.01744E+07
844.12152    6.13284E+07
844.16602    6.31267E+07
844.21051    6.46055E+07
844.25500    6.66187E+07
844.29950    6.59172E+07
844.34399    6.31476E+07
844.38849    6.20801E+07
844.43298    6.16599E+07
844.47748    6.20170E+07
844.52197    6.42713E+07
844.56647    6.29699E+07
844.61096    6.29482E+07
844.65546    6.23567E+07
844.69995    6.26709E+07
844.74445    6.37047E+07
844.78894    6.34630E+07
844.83344    6.28526E+07
844.87793    6.11582E+07
844.92242    6.01592E+07
844.96692    6.12463E+07
845.01141    6.08393E+07
845.05591    6.01262E+07
845.10040    6.11295E+07
845.14490    6.06493E+07
845.18939    6.03004E+07
845.23389    6.08217E+07
845.27838    6.45169E+07
845.32288    6.63494E+07
845.36737    6.56939E+07
845.41187    6.41143E+07
845.45636    6.23499E+07
845.50085    6.12851E+07
845.54535    6.15257E+07
845.58984    6.05916E+07
845.63434    6.07926E+07
845.67883    6.18716E+07
845.72333    6.31116E+07
845.76782    6.51347E+07
845.81232    6.59681E+07
845.85681    6.68064E+07
845.90131    6.78703E+07
845.94580    6.67201E+07
845.99030    6.54262E+07
846.03479    6.23450E+07
846.07928    6.20866E+07
846.12378    6.40674E+07
846.16827    6.49074E+07
