    35     19    4
Wavelength (Angstroms)
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
H2O         4
Total Absorption Cross Section (cm^2)
  2.052E-17  1.968E-17  1.894E-17  1.767E-17  1.707E-17  1.677E-17  1.647E-17  1.668E-17  1.696E-17  1.762E-17
  1.804E-17  1.902E-17  1.942E-17  1.987E-17  1.992E-17  2.138E-17  2.189E-17  2.180E-17  2.171E-17  2.192E-17
  2.085E-17  1.808E-17  1.583E-17  1.386E-17  1.195E-17  1.483E-17  1.546E-17  1.406E-17  1.454E-17  6.319E-18
  4.648E-18  1.466E-17  1.377E-18  4.230E-18  2.748E-18
Total Ionization Cross Section (cm^2)
  1.548E-17  1.489E-17  1.455E-17  1.387E-17  1.366E-17  1.342E-17  1.313E-17  1.270E-17  1.234E-17  1.187E-17
  1.125E-17  1.060E-17  9.964E-18  9.271E-18  8.738E-18  8.620E-18  8.302E-18  7.964E-18  7.694E-18  7.586E-18
  7.172E-18  6.275E-18  5.748E-18  5.224E-18  1.559E-18  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
H2O          + hv           = H2OP         + E            +              +             982.4
  7.261E-01  7.563E-01  7.682E-01  7.850E-01  8.000E-01  8.000E-01  7.969E-01  7.610E-01  7.276E-01  6.734E-01
  6.238E-01  5.574E-01  5.130E-01  4.666E-01  4.387E-01  4.032E-01  3.792E-01  3.652E-01  3.544E-01  3.461E-01
  3.439E-01  3.471E-01  3.631E-01  3.770E-01  1.304E-01  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
H2O          + hv           = OH           + H            +              +             2398.2
  1.918E-01  1.901E-01  1.808E-01  1.677E-01  1.560E-01  1.560E-01  1.585E-01  1.864E-01  2.124E-01  2.547E-01
  2.934E-01  3.452E-01  3.799E-01  4.160E-01  4.378E-01  4.655E-01  4.842E-01  4.951E-01  5.035E-01  5.100E-01
  5.117E-01  5.093E-01  4.968E-01  4.859E-01  6.783E-01  7.800E-01  7.800E-01  7.800E-01  7.800E-01  7.800E-01
  7.800E-01  7.800E-01  7.800E-01  7.800E-01  7.800E-01
H2O          + hv           = O1D          + H2           +              +             1763.0
  2.704E-02  2.680E-02  2.550E-02  2.365E-02  2.200E-02  2.200E-02  2.235E-02  2.629E-02  2.996E-02  3.592E-02
  4.138E-02  4.869E-02  5.358E-02  5.867E-02  6.174E-02  6.565E-02  6.829E-02  6.982E-02  7.101E-02  7.192E-02
  7.217E-02  7.182E-02  7.006E-02  6.853E-02  9.565E-02  1.100E-01  1.100E-01  1.100E-01  1.100E-01  1.100E-01
  1.100E-01  1.100E-01  1.100E-01  1.100E-01  1.100E-01
H2O          + hv           = O            + H            + H            +             1290.5
  2.704E-02  2.680E-02  2.550E-02  2.365E-02  2.200E-02  2.200E-02  2.235E-02  2.629E-02  2.996E-02  3.592E-02
  4.138E-02  4.869E-02  5.358E-02  5.867E-02  6.174E-02  6.565E-02  6.829E-02  6.982E-02  7.101E-02  7.192E-02
  7.217E-02  7.182E-02  7.006E-02  6.853E-02  9.565E-02  1.100E-01  1.100E-01  1.100E-01  1.100E-01  1.100E-01
  1.100E-01  1.100E-01  1.100E-01  1.100E-01  1.100E-01
H2O2        2
Total Absorption Cross Section (cm^2)
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.735E-17  1.833E-17  1.929E-17  2.037E-17  2.169E-17
  2.299E-17  2.426E-17  2.563E-17  2.710E-17  2.881E-17  2.997E-17  3.038E-17  2.994E-17  2.851E-17  2.638E-17
  2.433E-17  2.278E-17  2.149E-17  2.017E-17  1.864E-17  1.649E-17  1.440E-17  1.258E-17  1.121E-17  9.752E-18
  8.683E-18  7.835E-18  9.138E-18  9.564E-18  9.713E-18
Total Ionization Cross Section (cm^2)
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.735E-17  1.833E-17  1.929E-17  2.037E-17  2.169E-17
  2.299E-17  2.426E-17  2.563E-17  2.710E-17  2.881E-17  2.997E-17  3.038E-17  2.994E-17  2.851E-17  2.638E-17
  2.433E-17  2.278E-17  2.149E-17  2.017E-17  1.864E-17  1.649E-17  1.440E-17  1.258E-17  1.121E-17  9.752E-18
  8.683E-18  7.808E-18  6.745E-18  5.582E-18  4.533E-18
H2O2         + hv           = H2O2P        + E            +              +             1171.9
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
  1.000E+00  9.966E-01  7.382E-01  5.836E-01  4.667E-01
H2O2         + hv           = OH           + OH           +              +             5582.0
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  3.431E-03  2.618E-01  4.164E-01  5.333E-01
HO2         1
Total Absorption Cross Section (cm^2)
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  5.000E-20  5.000E-20  5.000E-20
  5.000E-20  5.000E-20  5.000E-20  5.000E-20  3.099E-19  1.964E-17  2.352E-17  5.632E-19  5.000E-20  5.000E-20
  5.000E-20  5.000E-20  5.000E-20  5.000E-20  5.000E-20
Total Ionization Cross Section (cm^2)
